Username,Timestamp,What is your current year of study?,Have you decided on your specialization track?,"To what extent do you agree:
""I understand what people in each track actually do in real-world roles (e.g. projects, internships, job scope).

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)","Before choosing your track, did you feel like you had enough exposure to real-world examples?",Which of the following sources do you rely on MOST to understand different tracks? (Select up to 2),"To what extent do you agree:
“The guidance I received so far when choosing my track is tailored to my strengths and interests.”

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)","How helpful do you find the current guidance provided by SCIS (e.g. portals, talks, advisors)?

(1 = Not Helpful; 2 = Slightly Helpful; 3 = Moderately Helpful; 4 = Helpful; 5 = Very Helpful)",What is your biggest challenge when choosing a Specialization Track?,Which of the following do you feel is MOST lacking in your decision process?,"How useful would the following tool be in supporting your track decision?
a) Short simulation of real-world tasks from each track

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","How useful would the following tool be in supporting your track decision?
b) Personalized track recommendation based on my profile
(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","To what extent do you agree with the following statement: 
""The process of choosing my track was clear and well-guided.""

(1 = Strongly Disagree; 2 = Disagree; 3 = Neutral; 4 = Agree; 5 = Strongly Agree)",Please elaborate on your experience. What made the process clear or unclear for you?,Which sources did you rely on MOST to understand different tracks? (Select up to 2),Which of the following do you feel is MOST lacking in your decision process?,"Looking back, how helpful would the following tool have been in supporting your track decision? 
a) Short simulation of real-world tasks from each track

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","Looking back, how helpful would the following tool have been in supporting your track decision? 
 b) Personalized track recommendation based on my profile

(1 = Not Useful; 2 = Slightly Useful; 3 = Moderately Useful; 4 = Useful; 5 = Very Useful)","After selecting your specialization track, how well do you understand how it translates into real-world applications and job roles (e.g. projects, internships, career paths)?

(1 = Not at all; 2 = Slightly; 3 = Moderately; 4 = Mostly; 5 = Completely)"
1,2026/04/03 11:45:44 am GMT+8,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",3,4,Fear of making the wrong decision,Nothing is lacking,3,4,,,,,,,
2,2026/04/03 11:46:53 am GMT+8,Year 2,Yes,,,,,,,,,,4,I consulted some of my seniors as well as a career coach to really discover what I enjoy doing and what I wouldn't mind working as in the future,Seniors;Career talks,Hands-on exposure to tasks,5,4,4
3,2026/04/03 11:50:16 am GMT+8,Year 2,Yes,,,,,,,,,,5,I was sure that I wanted the least coding possible. ,Seniors;Friends / peers,Understanding of career outcomes,5,5,5
4,2026/04/03 11:51:37 am GMT+8,Year 2,Yes,,,,,,,,,,4,"I knew what mods I gravitated more towards, as well as my interests. It was just a bit confusing with all the mods counting and how many CU go where, etc.","Seniors;School platforms (Oasis, website)",Hands-on exposure to tasks,5,5,4
5,2026/04/03 11:53:57 am GMT+8,Year 2,Yes,,,,,,,,,,3,"Not having sufficient information on the types of jobs available for each track, the modules taken and unsure which would suit myself better","School platforms (Oasis, website);Friends / peers",Real-world examples of jobs,4,4,3
6,2026/04/03 11:58:11 am GMT+8,Year 2,Yes,,,,,,,,,,5,"Was already sure of what I wanted, so choosing was clear by declaring on oasis.",Seniors;Friends / peers,Hands-on exposure to tasks,4,4,5
7,2026/04/03 11:59:01 am GMT+8,Year 2,Yes,,,,,,,,,,3,,"School platforms (Oasis, website)",Understanding of career outcomes,4,5,4
8,2026/04/03 12:02:14 pm GMT+8,Year 2,Yes,,,,,,,,,,5,"The website defines each track and the modules needed to be cleared, making them distinctive.","School platforms (Oasis, website)",Hands-on exposure to tasks,4,2,3
9,2026/04/03 12:06:54 pm GMT+8,Year 2,No,2,Not really,Career talks;Friends / peers,2,3,Lack of real-world understanding,Hands-on exposure to tasks,5,3,,,,,,,
10,2026/04/03 12:07:27 pm GMT+8,Year 2,No,4,Somewhat,"Seniors;School platforms (Oasis, website)",2,2,Fear of making the wrong decision,Clear comparison between tracks,5,5,,,,,,,
11,2026/04/03 12:07:37 pm GMT+8,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",1,2,Lack of clear differences between tracks,Hands-on exposure to tasks,5,5,,,,,,,
12,2026/04/03 12:09:06 pm GMT+8,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",1,2,Fear of making the wrong decision,Hands-on exposure to tasks,4,4,,,,,,,
13,2026/04/03 12:10:23 pm GMT+8,Year 2,Yes,,,,,,,,,,3,I knew what were my choices and what mods I would have to take for each track. ,"School platforms (Oasis, website);Friends / peers",Understanding of career outcomes,5,5,3
