timestamp,response_date,year_of_study,decided_track,source
2026-04-03 11:45:44,2026-04-03,Year 2,No,Seniors
2026-04-03 11:45:44,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 12:06:54,2026-04-03,Year 2,No,Career talks
2026-04-03 12:06:54,2026-04-03,Year 2,No,Friends / peers
2026-04-03 12:07:27,2026-04-03,Year 2,No,Seniors
2026-04-03 12:07:27,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 12:07:37,2026-04-03,Year 2,No,Career talks
2026-04-03 12:07:37,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 12:09:06,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 12:09:06,2026-04-03,Year 2,No,Friends / peers
2026-04-03 12:37:29,2026-04-03,Year 2,No,Career talks
2026-04-03 12:37:29,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 14:14:57,2026-04-03,Year 2,No,Seniors
2026-04-03 14:14:57,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 17:23:29,2026-04-03,Year 2,No,Seniors
2026-04-03 17:23:29,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 19:47:01,2026-04-03,Year 2,No,Seniors
2026-04-03 19:47:01,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 21:22:44,2026-04-03,Year 2,No,Seniors
2026-04-03 21:22:44,2026-04-03,Year 2,No,Career talks
2026-04-03 23:40:13,2026-04-03,Year 2,No,"School platforms (Oasis, website)"
2026-04-03 23:40:13,2026-04-03,Year 2,No,LinkedIn / job descriptions
2026-04-04 18:43:59,2026-04-04,Year 2,No,"School platforms (Oasis, website)"
2026-04-04 18:43:59,2026-04-04,Year 2,No,Friends / peers
2026-04-06 06:56:17,2026-04-06,Year 2,No,LinkedIn / job descriptions
2026-04-06 06:56:17,2026-04-06,Year 2,No,Friends / peers
